17:20:27, Iteration_20190612_17_18_46,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.03 secs, TIME TO CONNECT: 13.8 secs, TIME TO PAIR: 3.83 secs, 
17:21:57, Iteration_20190612_17_20_32,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.97 secs, TIME TO CONNECT: 6.35 secs, TIME TO PAIR: 4.58 secs, 
17:23:38, Iteration_20190612_17_22_02,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 4.43 secs, TIME TO CONNECT: 9.64 secs, TIME TO PAIR: 4.0 secs, 
17:25:22, Iteration_20190612_17_23_43,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 10.55 secs, TIME TO CONNECT: 9.94 secs, TIME TO PAIR: 1.82 secs, 
17:26:54, Iteration_20190612_17_25_27,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.98 secs, TIME TO CONNECT: 9.41 secs, TIME TO PAIR: 1.59 secs, 
17:28:36, Iteration_20190612_17_26_59,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.98 secs, TIME TO CONNECT: 11.3 secs, TIME TO PAIR: 7.66 secs, 
17:31:16, Iteration_20190612_17_28_41,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.89 secs, TIME TO CONNECT: 11.89 secs, TIME TO PAIR: 65.99 secs, 
17:32:51, Iteration_20190612_17_31_21,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.15 secs, TIME TO CONNECT: 8.71 secs, TIME TO PAIR: 6.32 secs, 
17:34:25, Iteration_20190612_17_32_56,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 5.28 secs, TIME TO CONNECT: 7.46 secs, TIME TO PAIR: 6.59 secs, 
17:36:56, Iteration_20190612_17_34_30,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 4.61 secs, TIME TO CONNECT: 70.35 secs, TIME TO PAIR: 3.59 secs, 
17:38:26, Iteration_20190612_17_37_01,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 3.32 secs, TIME TO CONNECT: 8.45 secs, TIME TO PAIR: 1.54 secs, 
17:39:25, Iteration_20190612_17_38_30,  ### VERIFICATION FAILED :: + click on sprocket in side menu, <OTHER ERROR>, , , , 
17:41:06, Iteration_20190612_17_39_31,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 0.88 secs, TIME TO CONNECT: 7.6 secs, TIME TO PAIR: 3.81 secs, 
17:42:38, Iteration_20190612_17_41_11,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 2.98 secs, TIME TO CONNECT: 6.72 secs, TIME TO PAIR: 3.79 secs, 
17:44:13, Iteration_20190612_17_42_43,  test_case_complete ### TEST PASSED, <SUCCESS>, TIME TO SCAN: 6.8 secs, TIME TO CONNECT: 8.66 secs, TIME TO PAIR: 3.5 secs, 
